SubmissionDate,start,end,day,deviceid,intro_gps-gps_obs-Latitude,intro_gps-gps_obs-Longitude,intro_gps-gps_obs-Altitude,intro_gps-gps_obs-Accuracy,intro-method_etg,intro-nom_etg,intro-label_nom_etg,intro-concat_code_nom,intro-code_etg,intro-label_code_etg,intro-concat_nom_code,intro-thou,intro_etat-state,intro_etat-assec,intro_etat-cult_assec,intro_etat-com_autre,intro_bird-bird_yes_no,meta-instanceID,meta-instanceName,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status
2020-11-18T08:38:15.335Z,2020-11-17T10:55:54.066+01:00,2020-11-17T10:57:29.822+01:00,2020-11-17,87a87a65ba25c694,45.98355791531503,4.973244667053223,340.0,3.5,nom,,,,20705,QUINSON,,F,E,,,,1,uuid:9703d6d9-2010-4e45-90d6-70bfbeb78b6d,piscivore_2020-11-17,uuid:9703d6d9-2010-4e45-90d6-70bfbeb78b6d,34,Pierre Levisse,0,0
2020-11-18T08:38:14.973Z,2020-11-17T10:24:28.864+01:00,2020-11-17T10:31:40.079+01:00,2020-11-17,87a87a65ba25c694,45.989333423785865,4.968424737453461,334.0,4.5,nom,,,,20703,GRAVIER,,F,E,,,,1,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92,piscivore_2020-11-17,uuid:4ba12981-b389-47d2-bf6d-6905b252fc92,34,Pierre Levisse,0,0
2020-11-18T08:38:14.648Z,2020-11-17T10:21:58.384+01:00,2020-11-17T10:24:11.095+01:00,2020-11-17,87a87a65ba25c694,45.98950466606766,4.968459103256464,339.0,4.5,nom,,,,20704,PLAT DU FEU,,F,A,Acnr,autre,Sorgho ,0,uuid:f53833c3-5be0-4629-9327-9ced7c7eccb1,piscivore_2020-11-17,uuid:f53833c3-5be0-4629-9327-9ced7c7eccb1,34,Pierre Levisse,0,0
2020-11-18T08:38:14.397Z,2020-11-17T10:12:40.760+01:00,2020-11-17T10:14:03.805+01:00,2020-11-17,87a87a65ba25c694,45.984367271885276,4.980771616101265,337.0,4.5,nom,,,,20707,LACROIX,,F,E,,,,1,uuid:f8d2ec86-08ff-4d94-8e15-a1cc5fbeae3a,piscivore_2020-11-17,uuid:f8d2ec86-08ff-4d94-8e15-a1cc5fbeae3a,34,Pierre Levisse,0,0
2020-11-18T08:38:13.550Z,2020-11-17T09:54:57.945+01:00,2020-11-17T10:00:32.993+01:00,2020-11-17,87a87a65ba25c694,45.97333262208849,4.987465823069215,324.0,4.0,nom,,,,20754,GRAND GLAREINS O,,F,E,,,,1,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e,piscivore_2020-11-17,uuid:9c0748a4-5028-4fd7-b0a6-dc6a5073cf8e,34,Pierre Levisse,0,0
2020-11-18T08:38:13.239Z,2020-11-17T09:46:05.214+01:00,2020-11-17T09:47:51.932+01:00,2020-11-17,87a87a65ba25c694,45.97287748474628,4.989944770932198,331.0,3.0,nom,,,,20709,PETIT GLAREINS,,F,A,ANC,,,0,uuid:35568bbb-5baa-400c-a63a-104f2a68db6f,piscivore_2020-11-17,uuid:35568bbb-5baa-400c-a63a-104f2a68db6f,34,Pierre Levisse,0,0
2020-11-18T08:38:12.730Z,2020-11-17T09:36:08.009+01:00,2020-11-17T09:45:55.069+01:00,2020-11-17,87a87a65ba25c694,45.972777027636766,4.9899056274443865,330.0,3.5,nom,,,,20753,GRAND GLAREINS E,,F,E,,,,1,uuid:f0215a53-22c8-4939-99f9-191b54417c11,piscivore_2020-11-17,uuid:f0215a53-22c8-4939-99f9-191b54417c11,34,Pierre Levisse,0,0
2020-11-18T08:38:12.441Z,2020-11-17T09:15:51.658+01:00,2020-11-17T09:17:48.528+01:00,2020-11-17,87a87a65ba25c694,45.93119042459875,5.00641361810267,327.0,4.5,nom,,,,26215,LONGEVAVRE,,NSP,A,ANC,,,0,uuid:20cf5fb0-0880-4173-919a-d556e5a2dd47,piscivore_2020-11-17,uuid:20cf5fb0-0880-4173-919a-d556e5a2dd47,34,Pierre Levisse,0,0
2020-11-17T16:18:04.114Z,2020-11-17T13:12:54.632+01:00,2020-11-17T13:20:02.749+01:00,2020-11-17,865119031770144,46.070503,5.1773215,293.9797455240041,5.317,nom,,,,14501,GRAND MARAIS,,O,V,,,,1,uuid:e41f8594-1054-4bb0-a743-706a894dcc58,piscivore_2020-11-17,uuid:e41f8594-1054-4bb0-a743-706a894dcc58,37,Autre,0,0
2020-11-17T16:18:03.546Z,2020-11-17T13:03:07.299+01:00,2020-11-17T13:07:17.459+01:00,2020-11-17,865119031770144,46.0681814,5.1715243,306.17827324196696,6.224,nom,,,,38170,RONCINE,,F,RP,,,,1,uuid:305962d4-555c-4e1c-91af-68a80ea39c1a,piscivore_2020-11-17,uuid:305962d4-555c-4e1c-91af-68a80ea39c1a,37,Autre,0,0
